Name-Type,Name,Type,URL,Campaign,Region Mismatch,Actual Region,Wiki Region,Experience,Gold,Faction,Faction Type,"Base Reward 
(Zaishen Copper Coins)","First Bonus Reward
(Zaishen Copper Coins)","Second Bonus Reward (HM)
(Zaishen Copper Coins)",Total Zaishen Copper Coints
Jennur's Horde-Mission,Jennur's Horde,Mission,https://wiki.guildwars.com/wiki/Jennur%27s_Horde_(Zaishen_quest),Nightfall,TRUE,Vabbi,Vabbi,"5,000","1,000",500,Lightbringer Points,30,45,75,150
Tihark Orchard-Mission,Tihark Orchard,Mission,https://wiki.guildwars.com/wiki/Tihark_Orchard_(Zaishen_quest),Nightfall,TRUE,Vabbi,Vabbi,"3,000",500,300,Sunspear Promotion Points,20,30,50,100
The Great Northern Wall-Mission,The Great Northern Wall,Mission,https://wiki.guildwars.com/wiki/The_Great_Northern_Wall_(Zaishen_quest),Prophecies,TRUE,Ascalon,Ascalon,"1,000",250,,,15,22,37,74
Nolani Academy-Mission,Nolani Academy,Mission,https://wiki.guildwars.com/wiki/Nolani_Academy_(Zaishen_quest),Prophecies,TRUE,Ascalon,Ascalon,"1,000",250,,,15,22,37,74
Fort Ranik-Mission,Fort Ranik,Mission,https://wiki.guildwars.com/wiki/Fort_Ranik_(Zaishen_quest),Prophecies,TRUE,Ascalon,Ascalon,"1,000",250,,,15,22,37,74
Ruins of Surmia-Mission,Ruins of Surmia,Mission,https://wiki.guildwars.com/wiki/Ruins_of_Surmia_(Zaishen_quest),Prophecies,TRUE,Ascalon,Ascalon,"1,000",250,,,15,22,37,74
Augury Rock-Mission,Augury Rock,Mission,https://wiki.guildwars.com/wiki/Augury_Rock_(Zaishen_quest),Prophecies,TRUE,Crystal Desert,Crystal Desert,"3,000",500,,,20,30,50,100
Thirsty River-Mission,Thirsty River,Mission,https://wiki.guildwars.com/wiki/Thirsty_River_(Zaishen_quest),Prophecies,TRUE,Crystal Desert,Crystal Desert,"3,000",500,,,20,30,50,100
The Dragon's Lair-Mission,The Dragon's Lair,Mission,https://wiki.guildwars.com/wiki/The_Dragon%27s_Lair_(Zaishen_quest),Prophecies,TRUE,Crystal Desert,Crystal Desert,"3,000",500,,,20,30,50,100
Dunes of Despair-Mission,Dunes of Despair,Mission,https://wiki.guildwars.com/wiki/Dunes_of_Despair_(Zaishen_quest),Prophecies,TRUE,Crystal Desert,Crystal Desert,"3,000",500,,,20,30,50,100
Elona Reach-Mission,Elona Reach,Mission,https://wiki.guildwars.com/wiki/Elona_Reach_(Zaishen_quest),Prophecies,TRUE,Crystal Desert,Crystal Desert,"3,000",500,,,20,30,50,100
Divinity Coast-Mission,Divinity Coast,Mission,https://wiki.guildwars.com/wiki/Divinity_Coast_(Zaishen_quest),Prophecies,TRUE,Kryta,Kryta,"3,000",500,,,20,30,50,100
D'Alessio Seaboard-Mission,D'Alessio Seaboard,Mission,https://wiki.guildwars.com/wiki/D%27Alessio_Seaboard_(Zaishen_quest),Prophecies,TRUE,Kryta,Kryta,"3,000",500,,,20,30,50,100
Sanctum Cay-Mission,Sanctum Cay,Mission,https://wiki.guildwars.com/wiki/Sanctum_Cay_(Zaishen_quest),Prophecies,TRUE,Kryta,Kryta,"3,000",500,,,20,30,50,100
Riverside Province-Mission,Riverside Province,Mission,https://wiki.guildwars.com/wiki/Riverside_Province_(Zaishen_quest),Prophecies,TRUE,Kryta,Kryta,"3,000",500,,,20,30,50,100
Gates of Kryta-Mission,Gates of Kryta,Mission,https://wiki.guildwars.com/wiki/Gates_of_Kryta_(Zaishen_quest),Prophecies,TRUE,Kryta,Kryta,"1,000",250,,,15,22,37,74
The Wilds-Mission,The Wilds,Mission,https://wiki.guildwars.com/wiki/The_Wilds_(Zaishen_quest),Prophecies,TRUE,Maguuma Jungle,Maguuma Jungle,"3,000",500,,,20,30,50,100
Aurora Glade-Mission,Aurora Glade,Mission,https://wiki.guildwars.com/wiki/Aurora_Glade_(Zaishen_quest),Prophecies,TRUE,Maguuma Jungle,Maguuma Jungle,"3,000",500,,,20,30,50,100
Bloodstone Fen-Mission,Bloodstone Fen,Mission,https://wiki.guildwars.com/wiki/Bloodstone_Fen_(Zaishen_quest),Prophecies,TRUE,Maguuma Jungle,Maguuma Jungle,"3,000",500,,,20,30,50,100
Borlis Pass-Mission,Borlis Pass,Mission,https://wiki.guildwars.com/wiki/Borlis_Pass_(Zaishen_quest),Prophecies,TRUE,Northern Shiverpeaks,Northern Shiverpeaks,"1,000",250,,,15,22,37,74
The Frost Gate-Mission,The Frost Gate,Mission,https://wiki.guildwars.com/wiki/The_Frost_Gate_(Zaishen_quest),Prophecies,TRUE,Northern Shiverpeaks,Northern Shiverpeaks,"1,000",250,,,15,22,37,74
Abaddon's Mouth-Mission,Abaddon's Mouth,Mission,https://wiki.guildwars.com/wiki/Abaddon%27s_Mouth_(Zaishen_quest),Prophecies,TRUE,Ring of Fire Islands,Ring of Fire Islands,"5,000","1,000",,,30,45,75,150
Ring of Fire-Mission,Ring of Fire,Mission,https://wiki.guildwars.com/wiki/Ring_of_Fire_(Zaishen_quest),Prophecies,TRUE,Ring of Fire Islands,Ring of Fire Islands,"5,000","1,000",,,30,45,75,150
Hell's Precipice-Mission,Hell's Precipice,Mission,https://wiki.guildwars.com/wiki/Hell%27s_Precipice_(Zaishen_quest),Prophecies,TRUE,Ring of Fire Islands,Ring of Fire Islands,"5,000","1,000",,,30,45,75,150
Ice Caves of Sorrow-Mission,Ice Caves of Sorrow,Mission,https://wiki.guildwars.com/wiki/Ice_Caves_of_Sorrow_(Zaishen_quest),Prophecies,TRUE,Southern Shiverpeaks,Southern Shiverpeaks,"5,000","1,000",,,30,45,75,150
Thunderhead Keep-Mission,Thunderhead Keep,Mission,https://wiki.guildwars.com/wiki/Thunderhead_Keep_(Zaishen_quest),Prophecies,TRUE,Southern Shiverpeaks,Southern Shiverpeaks,"5,000","1,000",,,30,45,75,150
Iron Mines of Moladune-Mission,Iron Mines of Moladune,Mission,https://wiki.guildwars.com/wiki/Iron_Mines_of_Moladune_(Zaishen_quest),Prophecies,TRUE,Southern Shiverpeaks,Southern Shiverpeaks,"5,000","1,000",,,30,45,75,150
Sacnoth Valley-Vanquish,Sacnoth Valley,Vanquish,https://wiki.guildwars.com/wiki/Sacnoth_Valley_(Zaishen_vanquish),Eye of the North,TRUE,Charr Homelands,Charr Homelands,"15,000","2,000","5,000",Vanguard reputation points,250,,,250
Dalada Uplands-Vanquish,Dalada Uplands,Vanquish,https://wiki.guildwars.com/wiki/Dalada_Uplands_(Zaishen_vanquish),Eye of the North,TRUE,Charr Homelands,Charr Homelands,"15,000","2,000","5,000",Vanguard reputation points,250,,,250
Grothmar Wardowns-Vanquish,Grothmar Wardowns,Vanquish,https://wiki.guildwars.com/wiki/Grothmar_Wardowns_(Zaishen_vanquish),Eye of the North,TRUE,Charr Homelands,Charr Homelands,"10,000","1,500","3,500",Vanguard reputation points,150,,,150
Jaga Moraine-Vanquish,Jaga Moraine,Vanquish,https://wiki.guildwars.com/wiki/Jaga_Moraine_(Zaishen_vanquish),Eye of the North,TRUE,Far Shiverpeaks,Far Shiverpeaks,"15,000","2,000","5,000",Norn reputation points,250,,,250
Varajar Fells-Vanquish,Varajar Fells,Vanquish,https://wiki.guildwars.com/wiki/Varajar_Fells_(Zaishen_vanquish),Eye of the North,TRUE,Far Shiverpeaks,Far Shiverpeaks,"15,000","2,000","5,000",Norn reputation points,250,,,250
Drakkar Lake-Vanquish,Drakkar Lake,Vanquish,https://wiki.guildwars.com/wiki/Drakkar_Lake_(Zaishen_vanquish),Eye of the North,TRUE,Far Shiverpeaks,Far Shiverpeaks,"15,000","2,000","5,000",Norn reputation points,250,,,250
Ice Cliff Chasms-Vanquish,Ice Cliff Chasms,Vanquish,https://wiki.guildwars.com/wiki/Ice_Cliff_Chasms_(Zaishen_vanquish),Eye of the North,TRUE,Far Shiverpeaks,Far Shiverpeaks,"10,000","1,500","3,500",Norn reputation points,150,,,150
Norrhart Domains-Vanquish,Norrhart Domains,Vanquish,https://wiki.guildwars.com/wiki/Norrhart_Domains_(Zaishen_vanquish),Eye of the North,TRUE,Far Shiverpeaks,Far Shiverpeaks,"10,000","1,500","3,500",Norn reputation points,150,,,150
Bjora Marches-Vanquish,Bjora Marches,Vanquish,https://wiki.guildwars.com/wiki/Bjora_Marches_(Zaishen_vanquish),Eye of the North,TRUE,Far Shiverpeaks,Far Shiverpeaks,"10,000","1,500","3,500",Norn reputation points,150,,,150
Riven Earth-Vanquish,Riven Earth,Vanquish,https://wiki.guildwars.com/wiki/Riven_Earth_(Zaishen_vanquish),Eye of the North,TRUE,Tarnished Coast,Tarnished Coast,"15,000","2,000","5,000",Asura reputation points,250,,,250
Sparkfly Swamp-Vanquish,Sparkfly Swamp,Vanquish,https://wiki.guildwars.com/wiki/Sparkfly_Swamp_(Zaishen_vanquish),Eye of the North,TRUE,Tarnished Coast,Tarnished Coast,"15,000","2,000","5,000",Asura reputation points,250,,,250
Magus Stones-Vanquish,Magus Stones,Vanquish,https://wiki.guildwars.com/wiki/Magus_Stones_(Zaishen_vanquish),Eye of the North,TRUE,Tarnished Coast,Tarnished Coast,"15,000","2,000","5,000",Asura reputation points,250,,,250
Arbor Bay-Vanquish,Arbor Bay,Vanquish,https://wiki.guildwars.com/wiki/Arbor_Bay_(Zaishen_vanquish),Eye of the North,TRUE,Tarnished Coast,Tarnished Coast,"15,000","2,000","5,000",Asura reputation points,250,,,250
Verdant Cascades-Vanquish,Verdant Cascades,Vanquish,https://wiki.guildwars.com/wiki/Verdant_Cascades_(Zaishen_vanquish),Eye of the North,TRUE,Tarnished Coast,Tarnished Coast,"10,000","1,500","3,500",Asura reputation points,150,,,150
Alcazia Tangle-Vanquish,Alcazia Tangle,Vanquish,https://wiki.guildwars.com/wiki/Alcazia_Tangle_(Zaishen_vanquish),Eye of the North,TRUE,Tarnished Coast,Tarnished Coast,"10,000","1,500","5,000",Asura reputation points,150,,,150
Morostav Trail-Vanquish,Morostav Trail,Vanquish,https://wiki.guildwars.com/wiki/Morostav_Trail_(Zaishen_vanquish),Factions,TRUE,Echovald Forest,Echovald Forest,"15,000","2,000","10,000",Kurzick Faction,250,,,250
Ferndale-Vanquish,Ferndale,Vanquish,https://wiki.guildwars.com/wiki/Ferndale_(Zaishen_vanquish),Factions,TRUE,Echovald Forest,Echovald Forest,"15,000","2,000","10,000",Kurzick Faction,250,,,250
Mourning Veil Falls-Vanquish,Mourning Veil Falls,Vanquish,https://wiki.guildwars.com/wiki/Mourning_Veil_Falls_(Zaishen_vanquish),Factions,TRUE,Echovald Forest,Echovald Forest,"10,000","1,500","7,000",Kurzick Faction,150,,,150
The Eternal Grove-Vanquish,The Eternal Grove,Vanquish,https://wiki.guildwars.com/wiki/The_Eternal_Grove_(Zaishen_vanquish),Factions,TRUE,Echovald Forest,Echovald Forest,"10,000","1,500","7,000",Kurzick Faction,150,,,150
Melandru's Hope-Vanquish,Melandru's Hope,Vanquish,https://wiki.guildwars.com/wiki/Melandru%27s_Hope_(Zaishen_vanquish),Factions,TRUE,Echovald Forest,Echovald Forest,"10,000","1,500","7,000",Kurzick Faction,150,,,150
Arborstone-Vanquish,Arborstone,Vanquish,https://wiki.guildwars.com/wiki/Arborstone_(Zaishen_vanquish),Factions,TRUE,Echovald Forest,Echovald Forest,"10,000","1,500","7,000",Kurzick Faction,150,,,150
Drazach Thicket-Vanquish,Drazach Thicket,Vanquish,https://wiki.guildwars.com/wiki/Drazach_Thicket_(Zaishen_vanquish),Factions,TRUE,Echovald Forest,Echovald Forest,"10,000","1,500","7,000",Kurzick Faction,150,,,150
Pongmei Valley-Vanquish,Pongmei Valley,Vanquish,https://wiki.guildwars.com/wiki/Pongmei_Valley_(Zaishen_vanquish),Factions,TRUE,Kaineng City,Kaineng City,"10,000","1,500",,,150,,,150
Raisu Palace-Vanquish,Raisu Palace,Vanquish,https://wiki.guildwars.com/wiki/Raisu_Palace_(Zaishen_vanquish),Factions,TRUE,Kaineng City,Kaineng City,"10,000","1,500",,,150,,,150
Shenzun Tunnels-Vanquish,Shenzun Tunnels,Vanquish,https://wiki.guildwars.com/wiki/Shenzun_Tunnels_(Zaishen_vanquish),Factions,TRUE,Kaineng City,Kaineng City,"10,000","1,500",,,150,,,150
Sunjiang District-Vanquish,Sunjiang District,Vanquish,https://wiki.guildwars.com/wiki/Sunjiang_District_(Zaishen_vanquish),Factions,TRUE,Kaineng City,Kaineng City,"10,000","1,500",,,150,,,150
Tahnnakai Temple-Vanquish,Tahnnakai Temple,Vanquish,https://wiki.guildwars.com/wiki/Tahnnakai_Temple_(Zaishen_vanquish),Factions,TRUE,Kaineng City,Kaineng City,"10,000","1,500",,,150,,,150
Wajjun Bazaar-Vanquish,Wajjun Bazaar,Vanquish,https://wiki.guildwars.com/wiki/Wajjun_Bazaar_(Zaishen_vanquish),Factions,TRUE,Kaineng City,Kaineng City,"10,000","1,500",,,150,,,150
Xaquang Skyway-Vanquish,Xaquang Skyway,Vanquish,https://wiki.guildwars.com/wiki/Xaquang_Skyway_(Zaishen_vanquish),Factions,TRUE,Kaineng City,Kaineng City,"10,000","1,500",,,150,,,150
Nahpui Quarter-Vanquish,Nahpui Quarter,Vanquish,https://wiki.guildwars.com/wiki/Nahpui_Quarter_(Zaishen_vanquish),Factions,TRUE,Kaineng City,Kaineng City,"10,000","1,500",,,150,,,150
Bukdek Byway-Vanquish,Bukdek Byway,Vanquish,https://wiki.guildwars.com/wiki/Bukdek_Byway_(Zaishen_vanquish),Factions,TRUE,Kaineng City,Kaineng City,"10,000","1,500",,,150,,,150
Shadow's Passage-Vanquish,Shadow's Passage,Vanquish,https://wiki.guildwars.com/wiki/Shadow%27s_Passage_(Zaishen_vanquish),Factions,TRUE,Kaineng City,Kaineng City,"5,000","1,000",,,50,,,50
Jaya Bluffs-Vanquish,Jaya Bluffs,Vanquish,https://wiki.guildwars.com/wiki/Jaya_Bluffs_(Zaishen_vanquish),Factions,TRUE,Shing Jea Island,Shing Jea Island,"10,000","1,500",,,150,,,150
Zen Daijun-Vanquish,Zen Daijun,Vanquish,https://wiki.guildwars.com/wiki/Zen_Daijun_(Zaishen_vanquish),Factions,TRUE,Shing Jea Island,Shing Jea Island,"10,000","1,500",,,150,,,150
Panjiang Peninsula-Vanquish,Panjiang Peninsula,Vanquish,https://wiki.guildwars.com/wiki/Panjiang_Peninsula_(Zaishen_vanquish),Factions,TRUE,Shing Jea Island,Shing Jea Island,"10,000","1,500",,,150,,,150
Haiju Lagoon-Vanquish,Haiju Lagoon,Vanquish,https://wiki.guildwars.com/wiki/Haiju_Lagoon_(Zaishen_vanquish),Factions,TRUE,Shing Jea Island,Shing Jea Island,"10,000","1,500",,,150,,,150
Kinya Province-Vanquish,Kinya Province,Vanquish,https://wiki.guildwars.com/wiki/Kinya_Province_(Zaishen_vanquish),Factions,TRUE,Shing Jea Island,Shing Jea Island,"5,000","1,000",,,50,,,50
Minister Cho's Estate-Vanquish,Minister Cho's Estate,Vanquish,https://wiki.guildwars.com/wiki/Minister_Cho%27s_Estate_(Zaishen_vanquish),Factions,TRUE,Shing Jea Island,Shing Jea Island,"5,000","1,000",,,50,,,50
Saoshang Trail-Vanquish,Saoshang Trail,Vanquish,https://wiki.guildwars.com/wiki/Saoshang_Trail_(Zaishen_vanquish),Factions,TRUE,Shing Jea Island,Shing Jea Island,"5,000","1,000",,,50,,,50
Sunqua Vale-Vanquish,Sunqua Vale,Vanquish,https://wiki.guildwars.com/wiki/Sunqua_Vale_(Zaishen_vanquish),Factions,TRUE,Shing Jea Island,Shing Jea Island,"5,000","1,000",,,50,,,50
Maishang Hills-Vanquish,Maishang Hills,Vanquish,https://wiki.guildwars.com/wiki/Maishang_Hills_(Zaishen_vanquish),Factions,TRUE,The Jade Sea,The Jade Sea,"10,000","1,500","7,000",Luxon Faction,150,,,150
Rhea's Crater-Vanquish,Rhea's Crater,Vanquish,https://wiki.guildwars.com/wiki/Rhea%27s_Crater_(Zaishen_vanquish),Factions,TRUE,The Jade Sea,The Jade Sea,"10,000","1,500","7,000",Luxon Faction,150,,,150
Silent Surf-Vanquish,Silent Surf,Vanquish,https://wiki.guildwars.com/wiki/Silent_Surf_(Zaishen_vanquish),Factions,TRUE,The Jade Sea,The Jade Sea,"10,000","1,500","7,000",Luxon Faction,150,,,150
Unwaking Waters-Vanquish,Unwaking Waters,Vanquish,https://wiki.guildwars.com/wiki/Unwaking_Waters_(Zaishen_vanquish),Factions,TRUE,The Jade Sea,The Jade Sea,"10,000","1,500","7,000",Luxon Faction,150,,,150
Mount Qinkai-Vanquish,Mount Qinkai,Vanquish,https://wiki.guildwars.com/wiki/Mount_Qinkai_(Zaishen_vanquish),Factions,TRUE,The Jade Sea,The Jade Sea,"10,000","1,500","7,000",Luxon Faction,150,,,150
Archipelagos-Vanquish,Archipelagos,Vanquish,https://wiki.guildwars.com/wiki/Archipelagos_(Zaishen_vanquish),Factions,TRUE,The Jade Sea,The Jade Sea,"10,000","1,500","7,000",Luxon Faction,150,,,150
Boreas Seabed-Vanquish,Boreas Seabed,Vanquish,https://wiki.guildwars.com/wiki/Boreas_Seabed_(Zaishen_vanquish),Factions,TRUE,The Jade Sea,The Jade Sea,"10,000","1,500","7,000",Luxon Faction,150,,,150
Gyala Hatchery-Vanquish,Gyala Hatchery,Vanquish,https://wiki.guildwars.com/wiki/Gyala_Hatchery_(Zaishen_vanquish),Factions,TRUE,The Jade Sea,The Jade Sea,"10,000","1,500","7,000",Luxon Faction,150,,,150
The Alkali Pan-Vanquish,The Alkali Pan,Vanquish,https://wiki.guildwars.com/wiki/The_Alkali_Pan_(Zaishen_vanquish),Nightfall,TRUE,Desolation,Desolation,"15,000","2,000","1,000",Lightbringer Points,250,,,250
The Shattered Ravines-Vanquish,The Shattered Ravines,Vanquish,https://wiki.guildwars.com/wiki/The_Shattered_Ravines_(Zaishen_vanquish),Nightfall,TRUE,Desolation,Desolation,"15,000","2,000","1,000",Lightbringer Points,250,,,250
The Sulfurous Wastes-Vanquish,The Sulfurous Wastes,Vanquish,https://wiki.guildwars.com/wiki/The_Sulfurous_Wastes_(Zaishen_vanquish),Nightfall,TRUE,Desolation,Desolation,"15,000","2,000","1,000",Lightbringer Points,250,,,250
Poisoned Outcrops-Vanquish,Poisoned Outcrops,Vanquish,https://wiki.guildwars.com/wiki/Poisoned_Outcrops_(Zaishen_vanquish),Nightfall,TRUE,Desolation,Desolation,"15,000","2,000","1,000",Lightbringer Points,250,,,250
Joko's Domain-Vanquish,Joko's Domain,Vanquish,https://wiki.guildwars.com/wiki/Joko%27s_Domain_(Zaishen_vanquish),Nightfall,TRUE,Desolation,Desolation,"15,000","2,000","1,000",Lightbringer Points,250,,,250
The Ruptured Heart-Vanquish,The Ruptured Heart,Vanquish,https://wiki.guildwars.com/wiki/The_Ruptured_Heart_(Zaishen_vanquish),Nightfall,TRUE,Desolation,Desolation,"10,000","1,500","1,000",Lightbringer Points,150,,,150
Crystal Overlook-Vanquish,Crystal Overlook,Vanquish,https://wiki.guildwars.com/wiki/Crystal_Overlook_(Zaishen_vanquish),Nightfall,TRUE,Desolation,Desolation,"10,000","1,500","1,000",Lightbringer Points,150,,,150
Lahtenda Bog-Vanquish,Lahtenda Bog,Vanquish,https://wiki.guildwars.com/wiki/Lahtenda_Bog_(Zaishen_vanquish),Nightfall,TRUE,Istan,Istan,"15,000","2,000","1,000",Sunspear Promotion Points,250,,,250
Issnur Isles-Vanquish,Issnur Isles,Vanquish,https://wiki.guildwars.com/wiki/Issnur_Isles_(Zaishen_vanquish),Nightfall,TRUE,Istan,Istan,"10,000","1,500",750,Sunspear Promotion Points,150,,,150
Mehtani Keys-Vanquish,Mehtani Keys,Vanquish,https://wiki.guildwars.com/wiki/Mehtani_Keys_(Zaishen_vanquish),Nightfall,TRUE,Istan,Istan,"10,000","1,500",750,Sunspear Promotion Points,150,,,150
Plains of Jarin-Vanquish,Plains of Jarin,Vanquish,https://wiki.guildwars.com/wiki/Plains_of_Jarin_(Zaishen_vanquish),Nightfall,TRUE,Istan,Istan,"10,000","1,500",750,Sunspear Promotion Points,150,,,150
Zehlon Reach-Vanquish,Zehlon Reach,Vanquish,https://wiki.guildwars.com/wiki/Zehlon_Reach_(Zaishen_vanquish),Nightfall,TRUE,Istan,Istan,"5,000","1,000",750,Sunspear Promotion Points,50,,,50
Cliffs of Dohjok-Vanquish,Cliffs of Dohjok,Vanquish,https://wiki.guildwars.com/wiki/Cliffs_of_Dohjok_(Zaishen_vanquish),Nightfall,TRUE,Istan,Istan,"5,000","1,000",500,Sunspear Promotion Points,50,,,50
"Fahranur, the First City-Vanquish","Fahranur, the First City",Vanquish,"https://wiki.guildwars.com/wiki/Fahranur,_the_First_City_(Zaishen_vanquish)",Nightfall,TRUE,Istan,Istan,"5,000","1,000",500,Sunspear Promotion Points,50,,,50
Jahai Bluffs-Vanquish,Jahai Bluffs,Vanquish,https://wiki.guildwars.com/wiki/Jahai_Bluffs_(Zaishen_vanquish),Nightfall,TRUE,Kourna,Kourna,"15,000","2,000","1,000",Sunspear Promotion Points,250,,,250
Turai's Procession-Vanquish,Turai's Procession,Vanquish,https://wiki.guildwars.com/wiki/Turai%27s_Procession_(Zaishen_vanquish),Nightfall,TRUE,Kourna,Kourna,"15,000","2,000","1,000",Sunspear Promotion Points,250,,,250
Marga Coast-Vanquish,Marga Coast,Vanquish,https://wiki.guildwars.com/wiki/Marga_Coast_(Zaishen_vanquish),Nightfall,TRUE,Kourna,Kourna,"15,000","2,000","1,000",Sunspear Promotion Points,250,,,250
The Floodplain of Mahnkelon-Vanquish,The Floodplain of Mahnkelon,Vanquish,https://wiki.guildwars.com/wiki/The_Floodplain_of_Mahnkelon_(Zaishen_vanquish),Nightfall,TRUE,Kourna,Kourna,"10,000","1,500",750,Sunspear Promotion Points,150,,,150
Sunward Marches-Vanquish,Sunward Marches,Vanquish,https://wiki.guildwars.com/wiki/Sunward_Marches_(Zaishen_vanquish),Nightfall,TRUE,Kourna,Kourna,"10,000","1,500",750,Sunspear Promotion Points,150,,,150
Arkjok Ward-Vanquish,Arkjok Ward,Vanquish,https://wiki.guildwars.com/wiki/Arkjok_Ward_(Zaishen_vanquish),Nightfall,TRUE,Kourna,Kourna,"10,000","1,500",750,Sunspear Promotion Points,150,,,150
Bahdok Caverns-Vanquish,Bahdok Caverns,Vanquish,https://wiki.guildwars.com/wiki/Bahdok_Caverns_(Zaishen_vanquish),Nightfall,TRUE,Kourna,Kourna,"10,000","1,500",750,Sunspear Promotion Points,150,,,150
Dejarin Estate-Vanquish,Dejarin Estate,Vanquish,https://wiki.guildwars.com/wiki/Dejarin_Estate_(Zaishen_vanquish),Nightfall,TRUE,Kourna,Kourna,"10,000","1,500",750,Sunspear Promotion Points,150,,,150
Barbarous Shore-Vanquish,Barbarous Shore,Vanquish,https://wiki.guildwars.com/wiki/Barbarous_Shore_(Zaishen_vanquish),Nightfall,TRUE,Kourna,Kourna,"10,000","1,500",750,Sunspear Promotion Points,150,,,150
"Gandara, the Moon Fortress-Vanquish","Gandara, the Moon Fortress",Vanquish,"https://wiki.guildwars.com/wiki/Gandara,_the_Moon_Fortress_(Zaishen_vanquish)",Nightfall,TRUE,Kourna,Kourna,"5,000","1,000",500,Sunspear Promotion Points,50,,,50
Holdings of Chokhin-Vanquish,Holdings of Chokhin,Vanquish,https://wiki.guildwars.com/wiki/Holdings_of_Chokhin_(Zaishen_vanquish),Nightfall,TRUE,Vabbi,Vabbi,"10,000","1,500",750,Sunspear Promotion Points,150,,,150
The Hidden City of Ahdashim-Vanquish,The Hidden City of Ahdashim,Vanquish,https://wiki.guildwars.com/wiki/The_Hidden_City_of_Ahdashim_(Zaishen_vanquish),Nightfall,TRUE,Vabbi,Vabbi,"10,000","1,500",750,Sunspear Promotion Points,150,,,150
The Mirror of Lyss-Vanquish,The Mirror of Lyss,Vanquish,https://wiki.guildwars.com/wiki/The_Mirror_of_Lyss_(Zaishen_vanquish),Nightfall,TRUE,Vabbi,Vabbi,"10,000","1,500",750,Sunspear Promotion Points,150,,,150
Vehjin Mines-Vanquish,Vehjin Mines,Vanquish,https://wiki.guildwars.com/wiki/Vehjin_Mines_(Zaishen_vanquish),Nightfall,TRUE,Vabbi,Vabbi,"10,000","1,500",750,Sunspear Promotion Points,150,,,150
Resplendent Makuun-Vanquish,Resplendent Makuun,Vanquish,https://wiki.guildwars.com/wiki/Resplendent_Makuun_(Zaishen_vanquish),Nightfall,TRUE,Vabbi,Vabbi,"10,000","1,500",750,Sunspear Promotion Points,150,,,150
Yatendi Canyons-Vanquish,Yatendi Canyons,Vanquish,https://wiki.guildwars.com/wiki/Yatendi_Canyons_(Zaishen_vanquish),Nightfall,TRUE,Vabbi,Vabbi,"10,000","1,500",750,Sunspear Promotion Points,150,,,150
Wilderness of Bahdza-Vanquish,Wilderness of Bahdza,Vanquish,https://wiki.guildwars.com/wiki/Wilderness_of_Bahdza_(Zaishen_vanquish),Nightfall,TRUE,Vabbi,Vabbi,"10,000","1,500",750,Sunspear Promotion Points,150,,,150
Vehtendi Valley-Vanquish,Vehtendi Valley,Vanquish,https://wiki.guildwars.com/wiki/Vehtendi_Valley_(Zaishen_vanquish),Nightfall,TRUE,Vabbi,Vabbi,"10,000","1,500",750,Sunspear Promotion Points,150,,,150
Forum Highlands-Vanquish,Forum Highlands,Vanquish,https://wiki.guildwars.com/wiki/Forum_Highlands_(Zaishen_vanquish),Nightfall,TRUE,Vabbi,Vabbi,"10,000","1,500","3,500",Sunspear Promotion Points,150,,,150
Garden of Seborhin-Vanquish,Garden of Seborhin,Vanquish,https://wiki.guildwars.com/wiki/Garden_of_Seborhin_(Zaishen_vanquish),Nightfall,TRUE,Vabbi,Vabbi,"10,000","1,500",750,Sunspear Promotion Points,150,,,150
Dragon's Gullet-Vanquish,Dragon's Gullet,Vanquish,https://wiki.guildwars.com/wiki/Dragon%27s_Gullet_(Zaishen_vanquish),Prophecies,TRUE,Ascalon,Ascalon,"15,000","2,000",,,250,,,250
Old Ascalon-Vanquish,Old Ascalon,Vanquish,https://wiki.guildwars.com/wiki/Old_Ascalon_(Zaishen_vanquish),Prophecies,TRUE,Ascalon,Ascalon,"10,000","1,500",,,150,,,150
The Breach-Vanquish,The Breach,Vanquish,https://wiki.guildwars.com/wiki/The_Breach_(Zaishen_vanquish),Prophecies,TRUE,Ascalon,Ascalon,"10,000","1,500",,,150,,,150
Eastern Frontier-Vanquish,Eastern Frontier,Vanquish,https://wiki.guildwars.com/wiki/Eastern_Frontier_(Zaishen_vanquish),Prophecies,TRUE,Ascalon,Ascalon,"10,000","1,000",,,150,,,150
Diessa Lowlands-Vanquish,Diessa Lowlands,Vanquish,https://wiki.guildwars.com/wiki/Diessa_Lowlands_(Zaishen_vanquish),Prophecies,TRUE,Ascalon,Ascalon,"10,000","1,500",,,150,,,150
Pockmark Flats-Vanquish,Pockmark Flats,Vanquish,https://wiki.guildwars.com/wiki/Pockmark_Flats_(Zaishen_vanquish),Prophecies,TRUE,Ascalon,Ascalon,"5,000","1,000",,,50,,,50
Regent Valley-Vanquish,Regent Valley,Vanquish,https://wiki.guildwars.com/wiki/Regent_Valley_(Zaishen_vanquish),Prophecies,TRUE,Ascalon,Ascalon,"5,000","1,000",,,50,,,50
Ascalon Foothills-Vanquish,Ascalon Foothills,Vanquish,https://wiki.guildwars.com/wiki/Ascalon_Foothills_(Zaishen_vanquish),Prophecies,TRUE,Ascalon,Ascalon,"5,000","1,000",,,50,,,50
